city,district,daily_temp
Нижний Новгород,Приволжский ФО,4.7
Якутск,Дальневосточный ФО,-21.9
Томск,Сибирский ФО,1.9
Брянск,Центральный  ФО,5.7
Чебоксары,Приволжский ФО,-3.5
Кемерово,Сибирский ФО,3.0
Краснодар,Южный ФО,6.5
Кызыл,Сибирский ФО,-10.8
Псков,Северо-Западный ФО,1.3
Майкоп,Южный ФО,0.3
Вологда,Северо-Западный ФО,6.4
Петрозаводск,Северо-Западный ФО,0.9
Кострома,Центральный  ФО,2.2
Тамбов,Центральный  ФО,-1.5
Уфа,Приволжский ФО,1.8
Саранск,Приволжский ФО,-4.0
Екатеринбург,Уральский ФО,3.9
Элиста,Южный ФО,9.0
Чебоксары,Приволжский ФО,0.5
Кемерово,Сибирский ФО,-8.7
Рязань,Центральный  ФО,7.3
Ростов,Южный ФО,4.9
Петропавловск-Камчатский,Дальневосточный ФО,-6.0
Хабаровск,Дальневосточный ФО,-9.0
Оренбург,Приволжский ФО,-0.5
Махачкала,Северо-Кавказский ФО,11.2
Магадан,Дальневосточный ФО,-5.0
Липецк,Центральный  ФО,8.8
Ростов,Южный ФО,7.9
Киров,Приволжский ФО,1.2
Челябинск,Уральский ФО,-4.3
Саранск,Приволжский ФО,1.2
Брянск,Центральный  ФО,4.8
Абакан,Сибирский ФО,-5.0
Омск,Сибирский ФО,1.9
Хабаровск,Дальневосточный ФО,-0.9
Петрозаводск,Северо-Западный ФО,-4.5
Челябинск,Уральский ФО,5.1
Пенза,Приволжский ФО,3.8
Майкоп,Южный ФО,9.7
Краснодар,Южный ФО,6.5
Ставрополь,Северо-Кавказский ФО,0.8
Екатеринбург,Уральский ФО,6.5
Иваново,Центральный  ФО,5.7
Калининград,Северо-Западный ФО,5.0
Казань,Приволжский ФО,5.1
Махачкала,Северо-Кавказский ФО,8.3
Астрахань,Южный ФО,10.0
Кызыл,Сибирский ФО,-10.3
Пермь,Приволжский ФО,2.4
Калининград,Северо-Западный ФО,6.4
Липецк,Центральный  ФО,0.9
Архангельск,Северо-Западный ФО,-8.2
Воронеж,Центральный  ФО,6.7
Киров,Приволжский ФО,6.1
Челябинск,Уральский ФО,0.2
Чита,Сибирский ФО,-13.8
Нальчик,Северо-Кавказский ФО,4.5
Сыктывкар,Северо-Западный ФО,-2.5
Ижевск,Приволжский ФО,-5.6
Анадырь,Дальневосточный ФО,-5.8
Омск,Сибирский ФО,-12.0
Омск,Сибирский ФО,-1.9
Йошкар-Ола,Приволжский ФО,2.7
Курск,Центральный  ФО,14.1
Хабаровск,Дальневосточный ФО,-4.0
Смоленск,Центральный  ФО,-1.7
Томск,Сибирский ФО,-0.2
Южно-Сахалинск,Дальневосточный ФО,-8.8
Архангельск,Северо-Западный ФО,-0.2
Улан-Удэ,Сибирский ФО,-2.0
Кострома,Центральный  ФО,-3.1
Ижевск,Приволжский ФО,-5.2
Самара,Приволжский ФО,2.2
Биробиджан,Дальневосточный ФО,-4.0
Ростов,Южный ФО,-4.6
Краснодар,Южный ФО,14.5
Уфа,Приволжский ФО,-7.2
Иркутск,Сибирский ФО,1.4
Анадырь,Дальневосточный ФО,-23.8
Москва,Центральный  ФО,-2.0
Уфа,Приволжский ФО,2.9
Хабаровск,Дальневосточный ФО,5.4
Саранск,Приволжский ФО,0.6
Анадырь,Дальневосточный ФО,-22.8
Казань,Приволжский ФО,8.5
Тверь,Центральный  ФО,-3.0
Сыктывкар,Северо-Западный ФО,-8.7
Петрозаводск,Северо-Западный ФО,1.0
Тюмень,Уральский ФО,-2.8
Тамбов,Центральный  ФО,-1.6
Казань,Приволжский ФО,1.6
Великий Новгород,Северо-Западный ФО,1.9
Пенза,Приволжский ФО,8.8
Орел,Центральный  ФО,0.7
Мурманск,Северо-Западный ФО,2.0
Майкоп,Южный ФО,6.3
Ижевск,Приволжский ФО,0.9
Улан-Удэ,Сибирский ФО,-10.8
Самара,Приволжский ФО,-0.9
Новосибирск,Сибирский ФО,-9.5
Анадырь,Дальневосточный ФО,-3.5
Калуга,Центральный  ФО,2.0
Челябинск,Уральский ФО,0.2
Омск,Сибирский ФО,-1.2
Якутск,Дальневосточный ФО,-22.7
Тюмень,Уральский ФО,7.2
Чита,Сибирский ФО,-2.5
Чита,Сибирский ФО,-8.6
Санкт-Петербург,Северо-Западный ФО,3.5
Ижевск,Приволжский ФО,4.3
Кызыл,Сибирский ФО,-12.2
Сыктывкар,Северо-Западный ФО,3.3
Кемерово,Сибирский ФО,-11.8
Мурманск,Северо-Западный ФО,-10.9
Иваново,Центральный  ФО,-3.3
Воронеж,Центральный  ФО,5.6
Махачкала,Северо-Кавказский ФО,8.6
Саранск,Приволжский ФО,3.1
Благовещенск,Дальневосточный ФО,-12.0
Тамбов,Центральный  ФО,10.7
Самара,Приволжский ФО,4.3
Улан-Удэ,Сибирский ФО,3.5
Курск,Центральный  ФО,-2.6
Иркутск,Сибирский ФО,2.5
Воронеж,Центральный  ФО,10.4
Воронеж,Центральный  ФО,7.7
Екатеринбург,Уральский ФО,1.0
Астрахань,Южный ФО,1.5
Магадан,Дальневосточный ФО,-14.5
Тамбов,Центральный  ФО,3.9
Биробиджан,Дальневосточный ФО,0.1
Вологда,Северо-Западный ФО,-4.9
Кострома,Центральный  ФО,-2.5
Вологда,Северо-Западный ФО,1.1
Оренбург,Приволжский ФО,1.1
Великий Новгород,Северо-Западный ФО,2.0
Тюмень,Уральский ФО,-1.8
Мурманск,Северо-Западный ФО,-4.0
Владимир,Центральный  ФО,7.5
Хабаровск,Дальневосточный ФО,-5.9
Нальчик,Северо-Кавказский ФО,9.8
Брянск,Центральный  ФО,6.7
Воронеж,Центральный  ФО,-1.6
Майкоп,Южный ФО,11.1
Кызыл,Сибирский ФО,-12.4
Калуга,Центральный  ФО,5.5
Смоленск,Центральный  ФО,9.2
Самара,Приволжский ФО,1.4
Якутск,Дальневосточный ФО,-11.9
Санкт-Петербург,Северо-Западный ФО,6.5
Воронеж,Центральный  ФО,9.1
Салехард,Северо-Западный ФО,-9.4
Воронеж,Центральный  ФО,7.7
Кемерово,Сибирский ФО,2.4
Сыктывкар,Северо-Западный ФО,-6.9
Ханты-Мансийск,Уральский ФО,-1.5
Петрозаводск,Северо-Западный ФО,-4.8
Тверь,Центральный  ФО,-3.5
Махачкала,Северо-Кавказский ФО,6.9
Пермь,Приволжский ФО,3.1
Тюмень,Уральский ФО,0.5
Томск,Сибирский ФО,-8.5
Курган,Уральский ФО,-0.3
Петрозаводск,Северо-Западный ФО,2.6
Рязань,Центральный  ФО,4.9
Киров,Приволжский ФО,0.7
Смоленск,Центральный  ФО,-1.0
Нальчик,Северо-Кавказский ФО,10.3
Калининград,Северо-Западный ФО,5.0
Владимир,Центральный  ФО,-4.1
Ханты-Мансийск,Уральский ФО,0.0
Улан-Удэ,Сибирский ФО,-9.0
Иваново,Центральный  ФО,1.8
Кызыл,Сибирский ФО,-3.6
Мурманск,Северо-Западный ФО,-6.6
Чита,Сибирский ФО,-13.2
Оренбург,Приволжский ФО,-4.6
Нижний Новгород,Приволжский ФО,-1.7
Томск,Сибирский ФО,-0.2
Нижний Новгород,Приволжский ФО,-3.0
Ставрополь,Северо-Кавказский ФО,9.4
Элиста,Южный ФО,7.0
Улан-Удэ,Сибирский ФО,-1.4
Ставрополь,Северо-Кавказский ФО,10.5
Киров,Приволжский ФО,2.8
Ханты-Мансийск,Уральский ФО,-7.6
Ханты-Мансийск,Уральский ФО,-2.5
Краснодар,Южный ФО,15.5
Самара,Приволжский ФО,10.5
Ижевск,Приволжский ФО,-1.9
Уфа,Приволжский ФО,-3.1
Калининград,Северо-Западный ФО,7.2
Рязань,Центральный  ФО,6.8
Калининград,Северо-Западный ФО,1.9
Омск,Сибирский ФО,-6.8
Магадан,Дальневосточный ФО,-8.5
Владимир,Центральный  ФО,3.6
Сыктывкар,Северо-Западный ФО,1.8
Ростов,Южный ФО,4.6
Майкоп,Южный ФО,1.9
Калуга,Центральный  ФО,5.0
Чита,Сибирский ФО,-10.8
Йошкар-Ола,Приволжский ФО,-1.0
Тула,Центральный  ФО,1.6
Курск,Центральный  ФО,10.7
Ханты-Мансийск,Уральский ФО,-5.1
Саранск,Приволжский ФО,-3.4
Москва,Центральный  ФО,8.8
Салехард,Северо-Западный ФО,-1.5
Якутск,Дальневосточный ФО,-16.2
Кызыл,Сибирский ФО,-11.9
Астрахань,Южный ФО,8.5
Тюмень,Уральский ФО,2.1
Челябинск,Уральский ФО,0.4
Ростов,Южный ФО,-2.0
Ижевск,Приволжский ФО,0.3
Омск,Сибирский ФО,-5.0
Архангельск,Северо-Западный ФО,-4.3
Екатеринбург,Уральский ФО,5.2
Воронеж,Центральный  ФО,3.7
Биробиджан,Дальневосточный ФО,-6.6
Салехард,Северо-Западный ФО,-10.1
Астрахань,Южный ФО,8.0
Волгоград,Южный ФО,8.4
Владивосток,Дальневосточный ФО,-1.4
Ставрополь,Северо-Кавказский ФО,13.2
Анадырь,Дальневосточный ФО,-21.9
Волгоград,Южный ФО,9.0
Иркутск,Сибирский ФО,-0.9
Майкоп,Южный ФО,10.3
Йошкар-Ола,Приволжский ФО,4.9
Курган,Уральский ФО,0.6
Казань,Приволжский ФО,7.0
Чебоксары,Приволжский ФО,-2.0
Якутск,Дальневосточный ФО,-22.9
Саранск,Приволжский ФО,3.1
Йошкар-Ола,Приволжский ФО,4.0
Ставрополь,Северо-Кавказский ФО,-1.5
Чита,Сибирский ФО,-4.5
Тамбов,Центральный  ФО,2.6
Нальчик,Северо-Кавказский ФО,10.5
Киров,Приволжский ФО,-3.1
Архангельск,Северо-Западный ФО,1.0
Благовещенск,Дальневосточный ФО,-4.0
Оренбург,Приволжский ФО,1.7
Омск,Сибирский ФО,-4.8
Ханты-Мансийск,Уральский ФО,-15.2
Санкт-Петербург,Северо-Западный ФО,4.5
Екатеринбург,Уральский ФО,3.6
Калининград,Северо-Западный ФО,4.7
Благовещенск,Дальневосточный ФО,3.8
Москва,Центральный  ФО,4.9
Курск,Центральный  ФО,-1.1
Абакан,Сибирский ФО,3.5
Владимир,Центральный  ФО,3.2
Биробиджан,Дальневосточный ФО,-8.5
Петропавловск-Камчатский,Дальневосточный ФО,-4.0
Кызыл,Сибирский ФО,-16.4
Владивосток,Дальневосточный ФО,0.7
Архангельск,Северо-Западный ФО,-7.6
Улан-Удэ,Сибирский ФО,-14.5
Краснодар,Южный ФО,4.5
Благовещенск,Дальневосточный ФО,5.2
Архангельск,Северо-Западный ФО,2.0
Тула,Центральный  ФО,8.7
Пенза,Приволжский ФО,1.7
Благовещенск,Дальневосточный ФО,-0.5
Омск,Сибирский ФО,-3.2
Вологда,Северо-Западный ФО,7.0
Екатеринбург,Уральский ФО,-1.0
Петропавловск-Камчатский,Дальневосточный ФО,-6.0
Калининград,Северо-Западный ФО,5.5
Южно-Сахалинск,Дальневосточный ФО,-3.4
Ростов,Южный ФО,6.8
Ставрополь,Северо-Кавказский ФО,11.5
Нижний Новгород,Приволжский ФО,5.0
Тула,Центральный  ФО,3.3
Владимир,Центральный  ФО,1.6
Петрозаводск,Северо-Западный ФО,4.3
Магадан,Дальневосточный ФО,-9.8
Краснодар,Южный ФО,13.0
Нальчик,Северо-Кавказский ФО,12.0
Биробиджан,Дальневосточный ФО,0.9
Астрахань,Южный ФО,7.5
Уфа,Приволжский ФО,-2.8
Южно-Сахалинск,Дальневосточный ФО,-2.1
Владивосток,Дальневосточный ФО,1.8
Ижевск,Приволжский ФО,1.5
Майкоп,Южный ФО,15.9
Волгоград,Южный ФО,6.5
Нальчик,Северо-Кавказский ФО,4.5
Смоленск,Центральный  ФО,-2.8
Курган,Уральский ФО,5.7
Улан-Удэ,Сибирский ФО,-11.6
Абакан,Сибирский ФО,2.5
Пенза,Приволжский ФО,4.1
Саранск,Приволжский ФО,1.2
Благовещенск,Дальневосточный ФО,-4.2
Саранск,Приволжский ФО,-0.6
Кызыл,Сибирский ФО,-7.9
Томск,Сибирский ФО,-8.1
Тверь,Центральный  ФО,4.7
Псков,Северо-Западный ФО,4.3
Пермь,Приволжский ФО,1.3
Якутск,Дальневосточный ФО,-6.7
Тверь,Центральный  ФО,-2.8
Йошкар-Ола,Приволжский ФО,9.8
Пермь,Приволжский ФО,8.8
Уфа,Приволжский ФО,3.9
Чита,Сибирский ФО,-6.0
Ставрополь,Северо-Кавказский ФО,8.6
Новосибирск,Сибирский ФО,-8.0
Томск,Сибирский ФО,-10.3
Сыктывкар,Северо-Западный ФО,-4.8
Тюмень,Уральский ФО,-0.1
Петрозаводск,Северо-Западный ФО,-1.4
Калуга,Центральный  ФО,6.5
Абакан,Сибирский ФО,-8.0
Якутск,Дальневосточный ФО,-16.4
Пенза,Приволжский ФО,-1.9
Петропавловск-Камчатский,Дальневосточный ФО,-8.5
Самара,Приволжский ФО,9.3
Тула,Центральный  ФО,-2.8
Киров,Приволжский ФО,2.1
Нижний Новгород,Приволжский ФО,-2.5
Ставрополь,Северо-Кавказский ФО,0.4
Киров,Приволжский ФО,-0.6
Москва,Центральный  ФО,8.4
Екатеринбург,Уральский ФО,4.6
Псков,Северо-Западный ФО,4.2
Салехард,Северо-Западный ФО,-15.2
Барнаул,Сибирский ФО,3.5
Кемерово,Сибирский ФО,-3.7
Салехард,Северо-Западный ФО,-16.7
Ставрополь,Северо-Кавказский ФО,0.2
Новосибирск,Сибирский ФО,-1.0
Санкт-Петербург,Северо-Западный ФО,0.8
Петропавловск-Камчатский,Дальневосточный ФО,-3.0
Казань,Приволжский ФО,-3.5
Махачкала,Северо-Кавказский ФО,6.8
Благовещенск,Дальневосточный ФО,-8.3
Йошкар-Ола,Приволжский ФО,2.2
Брянск,Центральный  ФО,2.7
Ижевск,Приволжский ФО,6.2
Владивосток,Дальневосточный ФО,-1.8
Тверь,Центральный  ФО,8.2
Биробиджан,Дальневосточный ФО,-8.9
Волгоград,Южный ФО,7.9
Ростов,Южный ФО,2.6
Томск,Сибирский ФО,-3.2
Хабаровск,Дальневосточный ФО,-6.2
Рязань,Центральный  ФО,3.6
Якутск,Дальневосточный ФО,-8.0
Петропавловск-Камчатский,Дальневосточный ФО,-7.0
Краснодар,Южный ФО,9.5
Ростов,Южный ФО,-2.7
Петрозаводск,Северо-Западный ФО,-2.5
Тверь,Центральный  ФО,3.0
Ижевск,Приволжский ФО,1.4
Йошкар-Ола,Приволжский ФО,0.4
Биробиджан,Дальневосточный ФО,-7.4
Владимир,Центральный  ФО,-2.4
Вологда,Северо-Западный ФО,1.9
Ижевск,Приволжский ФО,-2.0
Владивосток,Дальневосточный ФО,-2.9
Барнаул,Сибирский ФО,1.1
Хабаровск,Дальневосточный ФО,-7.8
Архангельск,Северо-Западный ФО,-0.7
Кемерово,Сибирский ФО,-10.2
Ростов,Южный ФО,-2.6
Нальчик,Северо-Кавказский ФО,11.7
Оренбург,Приволжский ФО,3.4
Смоленск,Центральный  ФО,-2.6
Чита,Сибирский ФО,-10.4
Иркутск,Сибирский ФО,-8.1
Омск,Сибирский ФО,-4.2
Нижний Новгород,Приволжский ФО,10.0
Петропавловск-Камчатский,Дальневосточный ФО,-1.0
Пенза,Приволжский ФО,1.6
Абакан,Сибирский ФО,-1.0
Нижний Новгород,Приволжский ФО,2.5
Иваново,Центральный  ФО,4.5
Ростов,Южный ФО,0.1
Новосибирск,Сибирский ФО,-2.5
Южно-Сахалинск,Дальневосточный ФО,-13.2
Владивосток,Дальневосточный ФО,0.0
Петрозаводск,Северо-Западный ФО,7.0
Салехард,Северо-Западный ФО,-18.6
Владимир,Центральный  ФО,8.6
Астрахань,Южный ФО,10.0
Владимир,Центральный  ФО,5.5
Тамбов,Центральный  ФО,5.9
Рязань,Центральный  ФО,2.9
Биробиджан,Дальневосточный ФО,-4.2
Салехард,Северо-Западный ФО,-9.6
Иваново,Центральный  ФО,5.0
Южно-Сахалинск,Дальневосточный ФО,-2.5
Орел,Центральный  ФО,11.1
Смоленск,Центральный  ФО,7.8
Владимир,Центральный  ФО,2.8
Якутск,Дальневосточный ФО,-25.4
Ставрополь,Северо-Кавказский ФО,7.1
Тамбов,Центральный  ФО,11.7
Тамбов,Центральный  ФО,7.4
Ханты-Мансийск,Уральский ФО,-7.5
Тула,Центральный  ФО,-2.4
Оренбург,Приволжский ФО,1.0
Кострома,Центральный  ФО,1.1
Нижний Новгород,Приволжский ФО,7.8
Иваново,Центральный  ФО,4.8
Нальчик,Северо-Кавказский ФО,6.3
Биробиджан,Дальневосточный ФО,5.6
Махачкала,Северо-Кавказский ФО,5.5
Петропавловск-Камчатский,Дальневосточный ФО,-8.0
Иркутск,Сибирский ФО,2.6
Астрахань,Южный ФО,10.0
Якутск,Дальневосточный ФО,-21.6
Кызыл,Сибирский ФО,-13.4
Курган,Уральский ФО,-0.1
Магадан,Дальневосточный ФО,-14.9
Новосибирск,Сибирский ФО,-10.0
Мурманск,Северо-Западный ФО,1.2
Благовещенск,Дальневосточный ФО,-10.9
Петрозаводск,Северо-Западный ФО,1.4
Тамбов,Центральный  ФО,3.5
Магадан,Дальневосточный ФО,-3.1
Воронеж,Центральный  ФО,10.7
Липецк,Центральный  ФО,6.2
Пермь,Приволжский ФО,1.2
Киров,Приволжский ФО,-2.9
Ростов,Южный ФО,4.9
Южно-Сахалинск,Дальневосточный ФО,-6.0
Элиста,Южный ФО,4.0
Калуга,Центральный  ФО,-1.5
Кемерово,Сибирский ФО,1.1
Нальчик,Северо-Кавказский ФО,-0.8
Екатеринбург,Уральский ФО,2.5
Псков,Северо-Западный ФО,3.8
Ростов,Южный ФО,-3.1
Кострома,Центральный  ФО,1.7
Санкт-Петербург,Северо-Западный ФО,0.1
Орел,Центральный  ФО,8.7
Владимир,Центральный  ФО,10.4
Калуга,Центральный  ФО,7.0
Кострома,Центральный  ФО,3.3
Омск,Сибирский ФО,-0.9
Самара,Приволжский ФО,1.5
Уфа,Приволжский ФО,-3.3
Нальчик,Северо-Кавказский ФО,8.5
Курск,Центральный  ФО,6.3
Хабаровск,Дальневосточный ФО,4.0
Брянск,Центральный  ФО,8.0
Брянск,Центральный  ФО,-0.6
Курган,Уральский ФО,3.4
Санкт-Петербург,Северо-Западный ФО,0.5
Абакан,Сибирский ФО,3.0
Петропавловск-Камчатский,Дальневосточный ФО,2.0
Смоленск,Центральный  ФО,4.0
Абакан,Сибирский ФО,1.0
Волгоград,Южный ФО,10.7
Тула,Центральный  ФО,8.3
Архангельск,Северо-Западный ФО,2.5
Тамбов,Центральный  ФО,2.9
Владимир,Центральный  ФО,5.4
Тула,Центральный  ФО,9.2
Томск,Сибирский ФО,-0.4
Курск,Центральный  ФО,7.8
Омск,Сибирский ФО,0.9
Вологда,Северо-Западный ФО,-5.2
Курск,Центральный  ФО,5.2
Воронеж,Центральный  ФО,11.2
Новосибирск,Сибирский ФО,-2.0
Оренбург,Приволжский ФО,0.1
Петрозаводск,Северо-Западный ФО,-5.0
Владивосток,Дальневосточный ФО,5.2
Иваново,Центральный  ФО,2.0
Магадан,Дальневосточный ФО,-16.0
Новосибирск,Сибирский ФО,-3.5
Сыктывкар,Северо-Западный ФО,-0.1
Нижний Новгород,Приволжский ФО,1.5
Мурманск,Северо-Западный ФО,1.5
Тамбов,Центральный  ФО,-3.1
Южно-Сахалинск,Дальневосточный ФО,-1.7
Майкоп,Южный ФО,11.0
Хабаровск,Дальневосточный ФО,0.0
Томск,Сибирский ФО,-0.2
Мурманск,Северо-Западный ФО,2.0
Барнаул,Сибирский ФО,-5.9
Тула,Центральный  ФО,4.3
Архангельск,Северо-Западный ФО,0.7
Тамбов,Центральный  ФО,3.4
Владимир,Центральный  ФО,6.3
Тамбов,Центральный  ФО,-1.2
Чебоксары,Приволжский ФО,6.0
Орел,Центральный  ФО,6.6
Магадан,Дальневосточный ФО,-9.9
Волгоград,Южный ФО,2.4
Владимир,Центральный  ФО,1.9
Чита,Сибирский ФО,-7.7
Магадан,Дальневосточный ФО,-17.0
Краснодар,Южный ФО,12.5
Ростов,Южный ФО,2.8
Нижний Новгород,Приволжский ФО,4.5
Махачкала,Северо-Кавказский ФО,7.4
Новосибирск,Сибирский ФО,-11.5
Орел,Центральный  ФО,2.5
Нальчик,Северо-Кавказский ФО,12.5
Иркутск,Сибирский ФО,-2.4
Курск,Центральный  ФО,5.7
Якутск,Дальневосточный ФО,-21.4
Курган,Уральский ФО,2.5
Воронеж,Центральный  ФО,2.4
Астрахань,Южный ФО,14.0
Иркутск,Сибирский ФО,-5.8
Кемерово,Сибирский ФО,-1.1
Нижний Новгород,Приволжский ФО,6.0
Томск,Сибирский ФО,-1.1
Архангельск,Северо-Западный ФО,-7.5
Тюмень,Уральский ФО,-0.3
Кемерово,Сибирский ФО,0.6
Хабаровск,Дальневосточный ФО,-0.5
Благовещенск,Дальневосточный ФО,-11.6
Салехард,Северо-Западный ФО,-9.8
Майкоп,Южный ФО,4.1
Рязань,Центральный  ФО,2.7
Южно-Сахалинск,Дальневосточный ФО,-0.8
Ставрополь,Северо-Кавказский ФО,9.4
Анадырь,Дальневосточный ФО,-4.7
Махачкала,Северо-Кавказский ФО,5.5
Биробиджан,Дальневосточный ФО,-2.4
Самара,Приволжский ФО,6.9
Томск,Сибирский ФО,-2.7
Нальчик,Северо-Кавказский ФО,12.1
Уфа,Приволжский ФО,2.6
Кострома,Центральный  ФО,1.8
Петропавловск-Камчатский,Дальневосточный ФО,-2.0
Омск,Сибирский ФО,-2.5
Махачкала,Северо-Кавказский ФО,9.5
Салехард,Северо-Западный ФО,-7.7
Пермь,Приволжский ФО,3.5
Новосибирск,Сибирский ФО,-4.0
Салехард,Северо-Западный ФО,-3.8
Благовещенск,Дальневосточный ФО,-9.4
Ставрополь,Северо-Кавказский ФО,12.8
Нижний Новгород,Приволжский ФО,2.0
Кострома,Центральный  ФО,2.8
Калуга,Центральный  ФО,9.5
Томск,Сибирский ФО,-4.1
Якутск,Дальневосточный ФО,-13.8
Псков,Северо-Западный ФО,-2.8
Калуга,Центральный  ФО,7.5
Санкт-Петербург,Северо-Западный ФО,3.5
Сыктывкар,Северо-Западный ФО,2.9
Петрозаводск,Северо-Западный ФО,-3.7
Смоленск,Центральный  ФО,-2.4
Псков,Северо-Западный ФО,5.5
Владивосток,Дальневосточный ФО,-4.2
Магадан,Дальневосточный ФО,-14.0
Самара,Приволжский ФО,-0.6
Екатеринбург,Уральский ФО,-2.2
Москва,Центральный  ФО,4.5
Калининград,Северо-Западный ФО,0.8
Курган,Уральский ФО,-3.0
Тамбов,Центральный  ФО,7.3
Омск,Сибирский ФО,-5.2
Киров,Приволжский ФО,3.8
Нижний Новгород,Приволжский ФО,7.3
Орел,Центральный  ФО,5.9
Сыктывкар,Северо-Западный ФО,-3.7
Иваново,Центральный  ФО,2.3
Иваново,Центральный  ФО,-2.5
Тамбов,Центральный  ФО,3.4
Воронеж,Центральный  ФО,10.5
Рязань,Центральный  ФО,-3.4
Нижний Новгород,Приволжский ФО,1.0
Владикавказ,Северо-Кавказский ФО,6.1
Петропавловск-Камчатский,Дальневосточный ФО,-3.0
Санкт-Петербург,Северо-Западный ФО,-2.5
Томск,Сибирский ФО,-5.8
Ставрополь,Северо-Кавказский ФО,7.3
Иркутск,Сибирский ФО,4.5
Смоленск,Центральный  ФО,2.9
Ханты-Мансийск,Уральский ФО,3.8
Саранск,Приволжский ФО,5.0
Махачкала,Северо-Кавказский ФО,7.9
Мурманск,Северо-Западный ФО,-11.7
Кемерово,Сибирский ФО,-0.5
Екатеринбург,Уральский ФО,-1.2
Калуга,Центральный  ФО,-4.0
Оренбург,Приволжский ФО,2.1
Иркутск,Сибирский ФО,-7.4
Сыктывкар,Северо-Западный ФО,-1.0
Орел,Центральный  ФО,8.9
Улан-Удэ,Сибирский ФО,0.2
Липецк,Центральный  ФО,9.1
Рязань,Центральный  ФО,5.5
Мурманск,Северо-Западный ФО,-8.5
Владивосток,Дальневосточный ФО,-3.8
Воронеж,Центральный  ФО,4.3
Калуга,Центральный  ФО,6.5
Волгоград,Южный ФО,-2.9
Иркутск,Сибирский ФО,-5.5
Рязань,Центральный  ФО,-2.2
Элиста,Южный ФО,10.1
Калуга,Центральный  ФО,2.0
Барнаул,Сибирский ФО,-11.2
Ростов,Южный ФО,-2.5
Оренбург,Приволжский ФО,3.2
Элиста,Южный ФО,9.0
Нальчик,Северо-Кавказский ФО,6.0
Петрозаводск,Северо-Западный ФО,6.5
Липецк,Центральный  ФО,5.0
Нальчик,Северо-Кавказский ФО,13.2
Рязань,Центральный  ФО,7.0
Тула,Центральный  ФО,5.0
Курган,Уральский ФО,6.2
Великий Новгород,Северо-Западный ФО,6.2
Тверь,Центральный  ФО,3.9
Сыктывкар,Северо-Западный ФО,-2.5
Южно-Сахалинск,Дальневосточный ФО,-0.9
Великий Новгород,Северо-Западный ФО,0.4
Абакан,Сибирский ФО,-1.5
Тамбов,Центральный  ФО,5.3
Томск,Сибирский ФО,-1.6
Элиста,Южный ФО,3.5
Хабаровск,Дальневосточный ФО,-6.3
Орел,Центральный  ФО,4.2
Новосибирск,Сибирский ФО,-6.5
Сыктывкар,Северо-Западный ФО,3.6
Смоленск,Центральный  ФО,5.7
Кызыл,Сибирский ФО,-12.2
Анадырь,Дальневосточный ФО,-28.0
Якутск,Дальневосточный ФО,-21.9
Элиста,Южный ФО,4.0
Хабаровск,Дальневосточный ФО,-4.2
Ижевск,Приволжский ФО,3.0
